ROI	Subj1	Subj2	GroupStr	VideoType	Y	Yz
Default	BSCMR010	BSCMR057	A_A	horror	-0.203839224676241	-0.2067349690654483
Default	BSCMR010	BSCMR057	A_A	neutral	-0.26807401598548264	-0.27478755570363567
Default	BSCMR010	BSCMR061	A_A	erotic	0.14958443814317246	0.15071533579984348
Default	BSCMR010	BSCMR061	A_A	horror	0.16355149606655522	0.16503364209831792
Default	BSCMR010	BSCMR061	A_A	neutral	0.07605388341132852	0.07620103121333202
Default	BSCMR010	BSCMR068	A_A	erotic	0.12848156479964778	0.1291956209760864
Default	BSCMR010	BSCMR068	A_A	horror	0.2014337739793415	0.2042265159778098
Default	BSCMR010	BSCMR068	A_A	neutral	-0.28060221827861537	-0.2883356407783689
Default	BSCMR010	BSCMR070	A_A	erotic	-0.2347424395137222	-0.23920260938731142
Default	BSCMR010	BSCMR070	A_A	horror	-0.025803163569848225	-0.025808892468670956
Default	BSCMR010	BSCMR070	A_A	neutral	-0.009223447967220487	-0.009223709532936903
Default	BSCMR010	BSCMR074	A_A	erotic	0.0954036925757857	0.09569473414544205
Default	BSCMR010	BSCMR074	A_A	horror	0.04620747355077761	0.04624040207552943
Default	BSCMR010	BSCMR074	A_A	neutral	-0.2523029063235146	-0.2578707596878739
Default	BSCMR010	BSCMR078	A_A	erotic	-0.37824992942088803	-0.398015805030097
Default	BSCMR010	BSCMR078	A_A	horror	0.1854296779058299	0.18759991158714737
Default	BSCMR010	BSCMR078	A_A	neutral	0.16005208360873355	0.16144014856812494
Default	BSCMR010	BSCMR081	A_A	erotic	0.029886783013771876	0.029895686274571714
Default	BSCMR010	BSCMR081	A_A	horror	0.33590991475418736	0.349475055961001
Default	BSCMR010	BSCMR081	A_A	neutral	-0.03813799787389772	-0.038156504687679546
Default	BSCMR010	BSCMR088	A_A	erotic	-0.18184234466548435	-0.1838873791037523
Default	BSCMR010	BSCMR088	A_A	horror	0.3063320772175669	0.31649259970697674
Default	BSCMR010	BSCMR088	A_A	neutral	-0.022261226205840333	-0.022264904573638084
Default	BSCMR010	BSCMR089	A_A	erotic	0.09026505970471921	0.09051141851036172
Default	BSCMR010	BSCMR089	A_A	horror	-0.07986987239521558	-0.08004036062317589
Default	BSCMR010	BSCMR089	A_A	neutral	0.050277444605664225	0.05031987310936269
Default	BSCMR010	BSCMR090	A_A	erotic	0.1876955383200899	0.18994748175473902
Default	BSCMR010	BSCMR090	A_A	horror	0.218334824246742	0.22190691119420705
Default	BSCMR010	BSCMR090	A_A	neutral	-0.31369648631695496	-0.32464010908798013
Default	BSCMR010	BSCMR091	A_A	erotic	0.29730734438626566	0.3065632576850842
Default	BSCMR010	BSCMR091	A_A	horror	0.3247590611149861	0.33695815376938354
Default	BSCMR010	BSCMR091	A_A	neutral	-0.12486579486927223	-0.1255208810920874
Default	BSCMR010	BSCMR092	A_A	erotic	-0.052932805241539864	-0.052982325674268915
Default	BSCMR010	BSCMR092	A_A	horror	0.03253745161287511	0.03254894122429361
Default	BSCMR010	BSCMR092	A_A	neutral	-0.130750581280888	-0.1315034101260873
Default	BSCMR010	BSCMR093	A_A	erotic	-0.039259665213780714	-0.039279854474195755
Default	BSCMR010	BSCMR093	A_A	horror	0.17231619632958756	0.17405276200707356
Default	BSCMR010	BSCMR093	A_A	neutral	0.08846441797224394	0.08869628047667799
Default	BSCMR010	BSCMR094	A_A	erotic	0.015194776561767424	0.015195946120047307
Default	BSCMR010	BSCMR094	A_A	horror	-0.03159382884436226	-0.031604347148782436
Default	BSCMR010	BSCMR094	A_A	neutral	-0.24415117211101042	-0.2491836969155815
Default	BSCMR010	BSCMR095	A_A	erotic	0.16089730233395333	0.16230770887369628
Default	BSCMR010	BSCMR095	A_A	horror	0.15537788957962934	0.1566467129214917
Default	BSCMR010	BSCMR095	A_A	neutral	-0.14555765293163211	-0.14659890003010762
Default	BSCMR010	BSCMR096	A_A	erotic	-0.24886955557639093	-0.2542073672972568
Default	BSCMR010	BSCMR096	A_A	horror	0.01237102960612587	0.012371660761327563
Default	BSCMR010	BSCMR096	A_A	neutral	-0.19665547252709017	-0.19925108300159478
Default	BSCMR010	BSCMR097	A_A	erotic	0.29912363225102606	0.3085568405775634
Default	BSCMR010	BSCMR097	A_A	horror	0.225046013694257	0.228965014695384
Default	BSCMR010	BSCMR097	A_A	neutral	0.003657511725446114	0.0036575280348997465
Default	BSCMR010	BSCMR098	A_A	erotic	-0.3219071974946213	-0.3337733319777698
Default	BSCMR010	BSCMR098	A_A	horror	-0.27140792056202945	-0.2783830753481951
Default	BSCMR010	BSCMR098	A_A	neutral	-0.3140519907964219	-0.32503446427856636
Default	BSCMR010	BSCMR099	A_A	erotic	-0.04907250490801655	-0.049111952595697915
Default	BSCMR010	BSCMR099	A_A	horror	-0.05836601075301071	-0.0584324229291877
Default	BSCMR010	BSCMR099	A_A	neutral	-0.0035236218280572124	-0.0035236364111572716
Default	BSCMR010	BSCMR100	A_A	erotic	-0.013584130576569558	-0.01358496622264032
Default	BSCMR010	BSCMR100	A_A	horror	-0.04056491436199305	-0.04058718637699163
Default	BSCMR010	BSCMR100	A_A	neutral	-0.00930450580741146	-0.009304774330255953
Default	BSCMR010	BSCMR101	A_A	erotic	-0.11407874961250353	-0.11457752218505404
Default	BSCMR010	BSCMR101	A_A	horror	-0.027961161990225355	-0.02796845233695225
Default	BSCMR010	BSCMR101	A_A	neutral	-0.017812796655338727	-0.01781468098882745
Default	BSCMR010	BSCMR102	A_A	erotic	0.21103990940707457	0.2142594807267013
Default	BSCMR010	BSCMR102	A_A	horror	-0.02243258630215645	-0.022436350287658585
Default	BSCMR010	BSCMR102	A_A	neutral	0.19825586504175016	0.20091640472703992
Default	BSCMR010	BSCMR104	A_A	erotic	0.4012505057727814	0.4251385156599974
Default	BSCMR010	BSCMR104	A_A	horror	-0.1401804652204104	-0.14110965386853383
Default	BSCMR010	BSCMR104	A_A	neutral	-0.006579885416985084	-0.006579980377928278
Default	BSCMR010	BSCMR105	A_A	erotic	0.0518441363632639	0.051890660555439304
Default	BSCMR010	BSCMR105	A_A	horror	0.0890033004427734	0.08923943963179723
Default	BSCMR010	BSCMR105	A_A	neutral	0.10872422660116177	0.10915569916405754
